,Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Item_Outlet_Sales,Outlet_Years,Outlet,Item_Fat_Content_0,Item_Fat_Content_1,Outlet_Size_0,Outlet_Size_1,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,New_Item_Type_0,New_Item_Type_1
56,NCX54,9.195,0.048157338,9,106.1622,OUT045,2002,7.658342722547712,11,7,0,1,0,0,0,1,0,1,0,0,0
57,DRK35,8.365,0.071958197,7,38.0506,OUT049,1999,6.682061729183589,14,9,1,0,0,1,1,0,0,1,0,1,0
58,FDY21,15.1,0.173481304,13,194.511,OUT046,1997,8.499288861213493,16,8,1,0,0,0,1,0,0,1,0,0,1
59,FDI26,12.857645184135977,0.061082177,3,180.0344,OUT019,1985,6.794779171512263,28,4,1,0,0,0,1,0,1,0,0,0,1
60,FDM20,10.0,0.06613202877895108,6,246.9144,OUT018,2009,8.066580245806012,4,3,1,0,0,1,0,0,0,0,1,0,1
61,FDV27,7.97,0.040071131,10,87.3514,OUT045,2002,6.969430454655927,11,7,0,0,0,0,0,1,0,1,0,0,1
62,FDF09,12.857645184135977,0.012090074,6,38.2848,OUT027,1985,6.185596090661295,28,5,1,0,0,1,0,0,0,0,0,0,1
63,FDY40,12.857645184135977,0.15028599,5,51.0692,OUT019,1985,5.002654196363512,28,4,0,0,0,0,1,0,1,0,0,0,1
64,FDY45,12.857645184135977,0.026015519,13,255.8356,OUT027,1985,7.841632851776647,28,5,1,0,0,1,0,0,0,0,0,0,1
65,FDC46,17.7,0.195068226,13,185.4266,OUT010,1998,5.222659116411064,15,0,1,0,0,0,0,0,1,0,0,0,1
66,FDH19,19.35,0.033082215,10,172.5738,OUT035,2004,8.490164464233796,9,6,1,0,0,0,0,1,0,1,0,0,1
67,FDZ03,13.65,0.078946455,4,186.024,OUT045,2002,7.0206767385268405,11,7,0,0,0,0,0,1,0,1,0,0,1
68,DRH37,17.6,0.041700756,14,164.8526,OUT045,2002,7.742113959496482,11,7,1,0,0,0,0,1,0,1,0,1,0
69,NCI17,8.645,0.143422643,8,95.841,OUT046,1997,7.614983356759096,16,8,0,1,0,0,1,0,0,1,0,0,0
70,FDJ58,15.6,0.105296072,13,170.1764,OUT046,1997,8.142216938353288,16,8,0,0,0,0,1,0,0,1,0,0,1
71,FDL12,15.85,0.121531501,0,59.222,OUT013,1987,6.397296254677018,26,1,0,0,1,0,0,0,0,1,0,0,1
72,FDH35,18.25,0.06613202877895108,15,164.7526,OUT045,2002,8.435044040080516,11,7,1,0,0,0,0,1,0,1,0,0,1
73,FDG02,7.855,0.011324862,3,189.6188,OUT017,2007,7.734570042892227,6,2,1,0,0,0,0,1,0,1,0,0,1
74,NCZ18,7.825,0.186357148,9,254.3698,OUT049,1999,8.627255046439146,14,9,0,1,0,1,1,0,0,1,0,0,0
75,FDC29,8.39,0.024205661,5,114.0176,OUT046,1997,7.7368973153479965,16,8,0,0,0,0,1,0,0,1,0,0,1
76,FDQ10,12.85,0.033230816,13,172.3422,OUT049,1999,7.09680034888645,14,9,1,0,0,1,1,0,0,1,0,0,1
77,FDN48,12.857645184135977,0.113720344,0,89.9804,OUT019,1985,6.467951489188129,28,4,1,0,0,0,1,0,1,0,0,0,1
78,FDL04,19.0,0.112556507,5,104.9622,OUT017,2007,7.370818000764178,6,2,1,0,0,0,0,1,0,1,0,0,1
79,FDV25,5.905,0.06613202877895108,3,222.5456,OUT045,2002,8.57661132571922,11,7,1,0,0,0,0,1,0,1,0,0,1
80,FDD58,7.76,0.059352241,13,101.87,OUT046,1997,7.437671511913667,16,8,1,0,0,0,1,0,0,1,0,0,1
81,FDN04,11.8,0.014087057,5,180.3344,OUT046,1997,7.264362860652083,16,8,0,0,0,0,1,0,0,1,0,0,1
82,FDV45,16.75,0.045230944,13,187.9556,OUT018,2009,8.454229962187917,4,3,1,0,0,1,0,0,0,0,1,0,1
83,NCL18,12.857645184135977,0.293417759,9,194.6136,OUT019,1985,6.370313226611205,28,4,0,1,0,0,1,0,1,0,0,0,0
84,FDR12,12.857645184135977,0.031382044,0,171.3764,OUT027,1985,8.036888754547524,28,5,0,0,0,1,0,0,0,0,0,0,1
85,FDG20,15.5,0.12639886,6,177.0028,OUT017,2007,7.8161909202534385,6,2,0,0,0,0,0,1,0,1,0,0,1
86,FDZ55,6.055,0.025403898,6,160.992,OUT035,2004,7.907454371437515,9,6,1,0,0,0,0,1,0,1,0,0,1
87,FDQ49,12.857645184135977,0.039057677,2,155.963,OUT027,1985,8.097646298741116,28,5,0,0,0,1,0,0,0,0,0,0,1
88,FDN33,6.305,0.123115764,13,95.6436,OUT046,1997,6.496481131025555,16,8,0,0,0,0,1,0,0,1,0,0,1
89,FDN27,20.85,0.039624006,10,117.2808,OUT049,1999,7.329323631078592,14,9,1,0,0,1,1,0,0,1,0,0,1
90,FDW20,20.75,0.040421193,6,122.173,OUT010,1998,5.914904725472544,15,0,1,0,0,0,0,0,1,0,0,0,1
91,DRG27,8.895,0.105274111,4,39.9138,OUT049,1999,6.538768569625618,14,9,1,0,0,1,1,0,0,1,0,1,0
92,DRI25,19.6,0.033970195,14,55.1614,OUT045,2002,7.23167404953173,11,7,1,0,0,0,0,1,0,1,0,1,0
93,FDA44,19.7,0.053212652,6,57.893,OUT035,2004,6.4353856529722036,9,6,1,0,0,0,0,1,0,1,0,0,1
94,NCR17,9.8,0.024378706,8,114.5492,OUT035,2004,7.150969029635072,9,6,0,1,0,0,0,1,0,1,0,0,0
95,FDU04,12.857645184135977,0.009714595,5,120.0414,OUT019,1985,6.1910643056855195,28,4,1,0,0,0,1,0,1,0,0,0,1
96,FDF41,12.15,0.131383762,5,246.046,OUT049,1999,7.116986501082949,14,9,1,0,0,1,1,0,0,1,0,0,1
97,FDB56,8.75,0.07461309,6,187.4556,OUT035,2004,8.231139658839913,9,6,0,0,0,0,0,1,0,1,0,0,1
98,NCP18,12.857645184135977,0.028459761,9,149.9708,OUT027,1985,8.38129401494555,28,5,0,1,0,1,0,0,0,0,0,0,0
99,FDB56,8.75,0.074627201,6,187.8556,OUT046,1997,7.18181184438651,16,8,0,0,0,0,1,0,0,1,0,0,1
100,FDT28,13.3,0.063695084,5,151.0708,OUT045,2002,7.499229359226499,11,7,1,0,0,0,0,1,0,1,0,0,1
101,FDD10,12.857645184135977,0.045797829,13,178.5344,OUT027,1985,7.957159956361889,28,5,0,0,0,1,0,0,0,0,0,0,1
102,FDW57,8.31,0.115857223,13,179.1028,OUT049,1999,8.26802943164612,14,9,0,0,0,1,1,0,0,1,0,0,1
103,DRB48,16.75,0.024832806,14,38.7822,OUT013,1987,6.505481174203127,26,1,0,0,1,0,0,0,0,1,0,1,0
104,FDP09,19.75,0.034027909,13,212.0902,OUT018,2009,8.066789188471217,4,3,1,0,0,1,0,0,0,0,1,0,1
105,FDH14,17.1,0.0467696,3,141.1838,OUT013,1987,7.718125694094618,26,1,0,0,1,0,0,0,0,1,0,0,1
106,FDA47,10.5,0.116576702,0,163.121,OUT013,1987,7.49294468503679,26,1,0,0,1,0,0,0,0,1,0,0,1
107,FDG12,6.635,0.06613202877895108,0,121.3098,OUT045,2002,7.836648583780151,11,7,0,0,0,0,0,1,0,1,0,0,1
108,DRE60,12.857645184135977,0.278974075,14,225.372,OUT019,1985,6.522263371856928,28,4,1,0,0,0,1,0,1,0,0,1,0
109,DRK49,14.15,0.035913805,14,41.4138,OUT013,1987,6.701070535331195,26,1,1,0,1,0,0,0,0,1,0,1,0
110,FDD03,13.3,0.079806266,4,232.53,OUT046,1997,6.551208898207379,16,8,1,0,0,0,1,0,0,1,0,0,1
111,FDS52,8.89,0.005505481,5,102.4016,OUT017,2007,7.913317338898384,6,2,1,0,0,0,0,1,0,1,0,0,1
112,FDW39,12.857645184135977,0.064625342,10,176.937,OUT019,1985,5.178615616335596,28,4,0,0,0,0,1,0,1,0,0,0,1
113,FDX34,12.857645184135977,0.071636937,13,121.7098,OUT027,1985,8.318335633448633,28,5,1,0,0,1,0,0,0,0,0,0,1
114,FDV11,9.1,0.06613202877895108,1,173.2054,OUT045,2002,8.056077055144213,11,7,0,0,0,0,0,1,0,1,0,0,1
115,FDD17,7.5,0.032677678,5,239.0906,OUT049,1999,8.690013924646816,14,9,1,0,0,1,1,0,0,1,0,0,1
116,FDZ16,16.85,0.160760054,5,192.4478,OUT017,2007,8.48563957084695,6,2,0,0,0,0,0,1,0,1,0,0,1
117,FDZ46,7.485,0.06911065,13,109.0228,OUT035,2004,7.841109360342663,9,6,1,0,0,0,0,1,0,1,0,0,1
118,DRA12,11.6,0.041177505,14,140.3154,OUT017,2007,7.845289638628091,6,2,1,0,0,0,0,1,0,1,0,1,0
119,FDY58,11.65,0.040081193,13,227.0694,OUT018,2009,7.041277796567277,4,3,1,0,0,1,0,0,0,0,1,0,1
120,NCF19,13.0,0.035307322,9,47.5034,OUT017,2007,6.524219358965493,6,2,0,1,0,0,0,1,0,1,0,0,0
121,DRJ13,12.65,0.063017847,14,159.0578,OUT045,2002,7.6434596197912,11,7,1,0,0,0,0,1,0,1,0,1,0
122,FDB14,20.25,0.171938781,3,92.512,OUT010,1998,5.233373429907372,15,0,0,0,0,0,0,0,1,0,0,0,1
123,FDJ38,8.6,0.040197932,3,190.153,OUT035,2004,8.018641269991644,9,6,0,0,0,0,0,1,0,1,0,0,1
124,FDW11,12.6,0.049058014,1,62.7194,OUT017,2007,6.7660437774509,6,2,1,0,0,0,0,1,0,1,0,0,1
125,FDL40,17.7,0.01161096,5,95.041,OUT035,2004,6.768342625598476,9,6,1,0,0,0,0,1,0,1,0,0,1
126,DRI49,14.15,0.183507295,14,82.4276,OUT046,1997,7.037191397406722,16,8,1,0,0,0,1,0,0,1,0,1,0
127,FDV38,19.25,0.102349519,4,52.7956,OUT017,2007,6.834243498301724,6,2,1,0,0,0,0,1,0,1,0,0,1
128,DRG23,8.88,0.086708987,7,151.7682,OUT013,1987,6.637704851497861,26,1,1,0,1,0,0,0,0,1,0,1,0
129,NCP30,20.5,0.032835147,9,40.2822,OUT045,2002,6.562556516752542,11,7,0,1,0,0,0,1,0,1,0,0,0
130,FDY25,12.857645184135977,0.033809913,3,180.5976,OUT027,1985,8.98335123587009,28,5,1,0,0,1,0,0,0,0,0,0,1
131,NCH54,13.5,0.07266912,9,160.292,OUT046,1997,7.271792653591673,16,8,0,1,0,0,1,0,0,1,0,0,0
132,NCR53,12.857645184135977,0.144338493,8,224.4404,OUT027,1985,8.85041047929178,28,5,0,1,0,1,0,0,0,0,0,0,0
133,FDS52,8.89,0.009163216,5,101.7016,OUT010,1998,4.626947333224356,15,0,1,0,0,0,0,0,1,0,0,0,1
134,FDG02,7.855,0.011307038,3,188.5188,OUT018,2009,6.859713534676676,4,3,1,0,0,1,0,0,0,0,1,0,1
135,NCO26,7.235,0.076855628,9,116.0492,OUT046,1997,7.586010320042112,16,8,0,1,0,0,1,0,0,1,0,0,0
136,FDH35,12.857645184135977,0.059956876,15,165.4526,OUT027,1985,8.568548291893752,28,5,1,0,0,1,0,0,0,0,0,0,1
137,FDB51,6.92,0.038532062,4,60.5852,OUT045,2002,7.18181184438651,11,7,1,0,0,0,0,1,0,1,0,0,1
138,FDX44,9.3,0.043209581,6,90.8172,OUT017,2007,6.284699672780699,6,2,1,0,0,0,0,1,0,1,0,0,1
139,NCN07,18.5,0.056816465,11,132.1284,OUT010,1998,5.578433892287147,15,0,0,1,0,0,0,0,1,0,0,0,0
140,NCC31,8.02,0.019866705,9,154.5972,OUT035,2004,7.246492662505686,9,6,0,1,0,0,0,1,0,1,0,0,0
141,NCX54,9.195,0.048331717,9,105.1622,OUT017,2007,7.435317186555804,6,2,0,1,0,0,0,1,0,1,0,0,0
142,NCO55,12.8,0.091221855,11,105.5938,OUT045,2002,7.6708370208333125,11,7,0,1,0,0,0,1,0,1,0,0,0
143,NCC30,16.6,0.027622076,9,177.6344,OUT049,1999,7.892644778027672,14,9,0,1,0,1,1,0,0,1,0,0,0
144,FDI16,14.0,0.06613202877895108,5,53.064,OUT035,2004,6.809577792379763,9,6,0,0,0,0,0,1,0,1,0,0,1
145,FDP16,18.6,0.039355947,5,246.3802,OUT049,1999,8.905363740394149,14,9,1,0,0,1,1,0,0,1,0,0,1
146,FDB11,16.0,0.060836524,15,226.8404,OUT035,2004,8.748643140888198,9,6,1,0,0,0,0,1,0,1,0,0,1
147,NCB06,17.6,0.082316506,8,160.692,OUT035,2004,7.377083680312805,9,6,0,1,0,0,0,1,0,1,0,0,0
148,FDA45,21.25,0.155350299,13,178.237,OUT035,2004,6.273463626903626,9,6,1,0,0,0,0,1,0,1,0,0,1
149,NCO26,7.235,0.076841095,9,117.5492,OUT035,2004,7.586010320042112,9,6,0,1,0,0,0,1,0,1,0,0,0
150,DRJ25,14.6,0.151419185,14,50.3692,OUT017,2007,6.942787617743714,6,2,1,0,0,0,0,1,0,1,0,1,0
151,FDR28,13.85,0.026001976,5,161.521,OUT018,2009,7.49294468503679,4,3,0,0,0,1,0,0,0,0,1,0,1
152,FDI04,13.65,0.073209447,5,197.6426,OUT018,2009,7.926384669299209,4,3,0,0,0,1,0,0,0,0,1,0,1
153,DRK12,12.857645184135977,0.041683481,14,31.29,OUT027,1985,6.802205856593669,28,5,1,0,0,1,0,0,0,0,0,1,0
154,FDX20,7.365,0.042560252,6,226.172,OUT046,1997,8.061552479860703,16,8,1,0,0,0,1,0,0,1,0,0,1
155,NCI18,18.35,0.014081156,9,223.5746,OUT018,2009,8.186184211991133,4,3,0,1,0,1,0,0,0,0,1,0,0
156,FDB36,5.465,0.06613202877895108,0,132.5626,OUT018,2009,5.5733897702400235,4,3,0,0,0,1,0,0,0,0,1,0,1
157,FDN13,18.6,0.152918384,2,99.8358,OUT017,2007,7.5554762359746785,6,2,1,0,0,0,0,1,0,1,0,0,1
158,DRD24,13.85,0.030969274,14,140.9154,OUT017,2007,7.440020307440113,6,2,1,0,0,0,0,1,0,1,0,1,0
159,FDQ28,14.0,0.060376776,5,154.5656,OUT013,1987,7.812964679062614,26,1,0,0,1,0,0,0,0,1,0,0,1
160,FDM22,14.0,0.04192285,13,54.764,OUT013,1987,7.194887200128437,26,1,0,0,1,0,0,0,0,1,0,0,1
161,FDR07,12.857645184135977,0.077367431,6,97.0094,OUT027,1985,7.501070300985557,28,5,1,0,0,1,0,0,0,0,0,0,1
162,FDV25,5.905,0.045838211,3,222.5456,OUT018,2009,8.106720767601526,4,3,1,0,0,1,0,0,0,0,1,0,1
163,DRF49,7.27,0.071077939,14,114.2518,OUT046,1997,7.870773630394549,16,8,1,0,0,0,1,0,0,1,0,1,0
164,FDW51,6.155,0.094659871,10,214.556,OUT046,1997,7.9268653805358165,16,8,0,0,0,0,1,0,0,1,0,0,1
165,DRL01,19.5,0.077608838,14,233.4958,OUT017,2007,8.589700514643262,6,2,0,0,0,0,0,1,0,1,0,1,0
166,FDP25,15.2,0.021327477,3,216.8824,OUT017,2007,7.9515491902587625,6,2,1,0,0,0,0,1,0,1,0,0,1
167,FDL50,12.15,0.042485444,3,125.0046,OUT018,2009,7.463973530392659,4,3,0,0,0,1,0,0,0,0,1,0,1
168,NCB30,12.857645184135977,0.025578526,9,198.8084,OUT027,1985,8.622712030540242,28,5,0,1,0,1,0,0,0,0,0,0,0
169,FDW11,12.6,0.0489808,1,61.9194,OUT018,2009,6.4300323323209385,4,3,1,0,0,1,0,0,0,0,1,0,1
170,NCM43,14.5,0.019471688,11,164.821,OUT035,2004,7.65991307366622,9,6,0,1,0,0,0,1,0,1,0,0,0
171,FDK44,16.6,0.122918852,6,173.0738,OUT017,2007,8.249058445700365,6,2,1,0,0,0,0,1,0,1,0,0,1
172,FDM15,11.8,0.057373797,10,151.4366,OUT013,1987,7.216143540982984,26,1,0,0,1,0,0,0,0,1,0,0,1
173,FDS31,13.1,0.044155597,6,178.8318,OUT013,1987,8.286647209592282,26,1,0,0,1,0,0,0,0,1,0,0,1
174,FDI32,17.7,0.291865402,6,115.1834,OUT010,1998,5.848027685481126,15,0,1,0,0,0,0,0,1,0,0,0,1
175,FDR47,17.85,0.06613202877895108,1,196.5794,OUT010,1998,6.37372619162615,15,0,1,0,0,0,0,0,1,0,0,0,1
176,FDB35,12.3,0.064750025,15,92.6804,OUT045,2002,6.919371943502174,11,7,0,0,0,0,0,1,0,1,0,0,1
177,NCU05,11.8,0.098312421,8,81.4618,OUT010,1998,5.088359007287065,15,0,0,1,0,0,0,0,1,0,0,0,0
178,DRY23,12.857645184135977,0.191013663,14,42.1112,OUT019,1985,3.775313998100727,28,4,0,0,0,0,1,0,1,0,0,1,0
179,FDO24,11.1,0.176573035,0,157.4604,OUT045,2002,8.010275787267753,11,7,1,0,0,0,0,1,0,1,0,0,1
180,FDQ28,12.857645184135977,0.060134441,5,153.0656,OUT027,1985,8.7036990484697,28,5,0,0,0,1,0,0,0,0,0,0,1
181,FDV39,11.3,0.007294652,10,198.1426,OUT045,2002,6.897415002109901,11,7,1,0,0,0,0,1,0,1,0,0,1
182,NCO17,12.857645184135977,0.128478462,8,117.944,OUT019,1985,5.483501488955468,28,4,0,1,0,0,1,0,1,0,0,0,0
183,FDU50,5.75,0.075107656,4,112.8176,OUT013,1987,7.2263625983054,26,1,0,0,1,0,0,0,0,1,0,0,1
184,FDT12,12.857645184135977,0.049381406,0,226.8062,OUT027,1985,8.463967547031883,28,5,0,0,0,1,0,0,0,0,0,0,1
185,FDK58,11.35,0.045165796,13,100.0016,OUT018,2009,6.920687298793248,4,3,0,0,0,1,0,0,0,0,1,0,1
186,FDO08,12.857645184135976,0.09415375,6,165.7526,OUT019,1985,6.490435784456965,28,4,0,0,0,0,1,0,1,0,0,0,1
187,NCW29,14.0,0.028907832,8,130.431,OUT049,1999,6.659275970804608,14,9,0,1,0,1,1,0,0,1,0,0,0
188,FDE04,19.75,0.018059621,5,179.766,OUT045,2002,7.757033177798801,11,7,0,0,0,0,0,1,0,1,0,0,1
189,NCB19,6.525,0.090436094,9,85.0882,OUT049,1999,7.711590697648821,14,9,0,1,0,1,1,0,0,1,0,0,0
190,FDV15,10.3,0.146399712,10,103.9648,OUT049,1999,7.416280338478307,14,9,1,0,0,1,1,0,0,1,0,0,1
191,FDL58,5.78,0.074264356,13,264.7568,OUT049,1999,8.465230704748418,14,9,0,0,0,1,1,0,0,1,0,0,1
192,FDA08,11.85,0.050186726,6,164.1526,OUT045,2002,8.0473813517777,11,7,0,0,0,0,0,1,0,1,0,0,1
193,FDT43,16.35,0.020631654,6,50.1324,OUT018,2009,6.149304698172492,4,3,1,0,0,1,0,0,0,0,1,0,1
194,NCX06,12.857645184135977,0.01561108,9,182.5976,OUT027,1985,8.531437813341336,28,5,0,1,0,1,0,0,0,0,0,0,0
195,FDT20,10.5,0.041395445,6,37.6164,OUT046,1997,6.294582372985006,16,8,1,0,0,0,1,0,0,1,0,0,1
196,FDB41,19.0,0.097313129,5,48.0718,OUT046,1997,6.901443199658056,16,8,0,0,0,0,1,0,0,1,0,0,1
197,NCN55,14.6,0.059582996,11,238.8538,OUT049,1999,8.701154236847259,14,9,0,1,0,1,1,0,0,1,0,0,0
198,FDE40,12.857645184135976,0.098663652,4,62.9194,OUT027,1985,7.652668951953786,28,5,0,0,0,1,0,0,0,0,0,0,1
199,FDX49,12.857645184135977,0.101338651,3,232.63,OUT027,1985,8.586847977122963,28,5,0,0,0,1,0,0,0,0,0,0,1
200,NCM53,18.75,0.052146456,8,104.628,OUT045,2002,6.615658141123598,11,7,0,1,0,0,0,1,0,1,0,0,0
201,FDE36,5.26,0.041764487,0,161.8868,OUT035,2004,8.094603083964397,9,6,0,0,0,0,0,1,0,1,0,0,1
202,FDN57,18.25,0.054344186,13,140.2154,OUT045,2002,7.440020307440113,11,7,1,0,0,0,0,1,0,1,0,0,1
