,Item_Weight,Item_Outlet_Sales,Item_Fat_Content_0,Item_Fat_Content_1,Outlet_Size_0,Outlet_Size_1,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,New_Item_Type_0,New_Item_Type_1,Outlet_0,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Item_Type_0,Item_Type_1,Item_Type_2,Item_Type_3,Item_Type_4,Item_Type_5,Item_Type_6,Item_Type_7,Item_Type_8,Item_Type_9,Item_Type_10,Item_Type_11,Item_Type_12,Item_Type_13,Item_Type_14,log_Item_Visibility,Type1_Tear1,Type1_Tear2,log_Item_MRP,log_Outlet_Years
19,13.35,7.919146132236254,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.097573180921031,0,1,5.444731913803433,2.302585092994046
20,18.85,8.236443302429764,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1294395247149753,0,0,5.528922610067024,3.295836866004329
21,8.315,8.310179649231715,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347877511182669,0,0,4.980481194700515,3.367295829986474
22,14.6,7.37039888961736,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.02537348708418,0,1,5.285781115082301,2.302585092994046
23,15.5,5.372439195748607,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0559615293037737,0,0,4.68853475478196,3.367295829986474
24,13.85,8.31361326825195,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0255668498457909,1,0,5.112114286379427,2.833213344056216
25,13.0,6.733292362029665,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0952075409007691,0,1,3.8481455990393854,1.9459101490553132
26,7.645,6.9719312344007,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.064563618010142,0,1,3.7684112620696655,2.302585092994046
27,11.65,5.736350337363997,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0191711848410925,0,0,3.6917852282601076,3.295836866004329
28,5.925,5.189809681521668,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1496834600710879,0,0,3.839637241729423,2.772588722239781
29,14.5,4.842896490217898,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.069732945164857,0,0,3.7987512784989836,3.367295829986474
30,19.25,5.10465251718005,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1573016112818406,0,0,4.039458857937822,2.772588722239781
31,18.6,7.916721595888904,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0777286834603898,0,0,4.579273749091915,1.6094379124341003
32,18.7,8.029109139987389,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0640371724635911,0,0,5.551668829774868,1.6094379124341003
33,17.85,7.685015089220353,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0640371724635911,0,1,4.544821276159613,2.4849066497880004
34,17.5,7.6431405389407,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.093402933984943,1,0,5.169766692383558,2.833213344056216
35,10.0,8.240666057319922,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0855271516552788,1,0,4.99525224605606,2.70805020110221
36,20.2,7.936907301237016,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0578082473190968,0,0,4.860337847687495,3.367295829986474
37,8.85,7.384551039392579,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1071703805638212,0,0,4.816555276767445,1.6094379124341003
38,6.385000000000001,5.96399416759279,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1161029166020287,0,0,3.6372545257945634,3.367295829986474
39,15.25,7.687765700560121,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0261364029939531,0,0,4.484355308941895,3.367295829986474
40,13.35,8.142216938353288,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0975907627515455,1,0,5.445163720333185,2.833213344056216
41,9.8,7.673936355081979,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.026465118821434,0,0,4.844202834366088,3.295836866004329
42,13.6,7.835332794792717,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.111378882104146,1,0,5.267412699035999,2.70805020110221
43,21.35,8.820185875977355,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0668198210555116,0,0,5.564243740701523,1.6094379124341003
44,12.15,5.925628651410538,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0414085747684183,0,0,4.8481524423790425,3.295836866004329
45,6.42,5.88388045001317,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0857178896287611,0,0,5.187945425760627,2.772588722239781
46,19.6,7.795580032065621,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0640371724635911,0,1,5.038914313363511,2.4849066497880004
47,10.0,8.668384731590896,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0255503685149932,0,1,5.584332800929833,2.4849066497880004
48,15.85,7.85463185832182,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11478541037479,1,0,4.121018949636287,2.833213344056216
49,10.195,6.66098172530728,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.227450181256579,0,0,5.287657754214219,3.367295829986474
50,7.39,8.050571485017242,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.065581457090751,1,0,4.975914096257587,2.833213344056216
51,10.195,6.747460227774114,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1482508985791891,0,0,4.959450064044983,3.295836866004329
52,9.895,6.699431864910897,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0282928867454227,0,0,4.771101486719063,3.295836866004329
53,10.895,8.04631570847155,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0630138415917111,0,1,5.285127764917577,1.9459101490553132
54,12.15,8.479712608158346,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0283542061330999,0,1,5.026973102303874,1.9459101490553132
55,7.905,8.741858783837994,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0100029086788507,0,0,5.521624104546575,1.6094379124341003
56,9.195,7.658342722547712,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0470337063096069,0,1,4.674343574514195,2.4849066497880004
57,8.365,6.682061729183589,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0694870665524514,1,0,3.6648582410844295,2.70805020110221
58,15.1,8.499288861213493,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1599748043541629,1,0,5.275616643827204,2.833213344056216
59,5.94,6.794779171512263,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0592893090359565,0,0,5.198687068456234,3.367295829986474
60,10.0,8.066580245806012,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0640371724635911,0,0,5.5130835252927906,1.6094379124341003
61,7.97,6.969430454655927,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0392891060067444,0,1,4.481322044706937,2.4849066497880004
62,6.215,6.185596090661295,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0120175728333348,0,0,3.670837675613171,3.367295829986474
63,15.5,5.002654196363512,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.140010598414205,0,0,3.9525736031236143,3.367295829986474
64,17.5,7.841632851776647,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0256828723651792,0,0,5.548436191491144,3.367295829986474
65,17.7,5.222659116411064,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1782032766407664,0,0,5.228037595932924,2.772588722239781
66,19.35,8.490164464233796,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.032546775547459,0,1,5.156602869177444,2.302585092994046
67,13.65,7.0206767385268405,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0759850603921978,0,1,5.231236950865415,2.4849066497880004
68,17.6,7.742113959496482,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0408547197447791,0,1,5.111099442086582,2.4849066497880004
69,8.645,7.614983356759096,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1340260828701239,1,0,4.573070458327983,2.833213344056216
70,15.6,8.142216938353288,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1001132375421555,1,0,5.142694603738103,2.833213344056216
71,15.85,6.397296254677018,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1146951628582899,0,0,4.0980377340597185,3.295836866004329
72,18.25,8.435044040080516,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0640371724635911,0,1,5.110496315217453,2.4849066497880004
73,7.855,7.734570042892227,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0112612158223575,0,1,5.250275622242576,1.9459101490553132
74,7.825,8.627255046439146,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1708873918366022,1,0,5.542712690718041,2.70805020110221
75,8.39,7.7368973153479965,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.023917347271811,1,0,4.745085160131553,2.833213344056216
76,12.85,7.09680034888645,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0326906075787406,1,0,5.155267675445204,2.70805020110221
77,13.35,6.467951489188129,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107706072287879,0,0,4.510644098702868,3.367295829986474
78,19.0,7.370818000764178,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1066605265773359,0,1,4.663082426740236,1.9459101490553132
79,5.905,8.57661132571922,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0640371724635911,0,1,5.409615420088615,2.4849066497880004
80,7.76,7.437671511913667,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0576576279340771,1,0,4.6334660551429385,2.833213344056216
81,11.8,7.264362860652083,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0139887565132451,1,0,5.200342840523473,2.833213344056216
82,16.75,8.454229962187917,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0442378600431453,0,0,5.241512066826547,1.6094379124341003
83,18.85,6.370313226611205,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2572881404139036,0,0,5.276141284835995,3.367295829986474
84,12.6,8.036888754547524,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308996931366577,0,0,5.149680457907895,3.367295829986474
85,15.5,7.8161909202534385,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1190256943472651,0,1,5.181799280505444,1.9459101490553132
86,6.055,7.907454371437515,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0250865818035768,0,1,5.087546951296968,2.302585092994046
87,20.2,8.097646298741116,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0383142226071534,0,0,5.056010108784246,3.367295829986474
88,6.305,6.496481131025555,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1161067550382896,1,0,4.571029985148308,2.833213344056216
89,20.85,7.329323631078592,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.038859115092274,1,0,4.773061458573172,2.70805020110221
90,20.75,5.914904725472544,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0396256244348735,0,0,4.813589871237112,2.772588722239781
91,8.895,6.538768569625618,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1000933684602602,1,0,3.7114674144523305,2.70805020110221
92,19.6,7.23167404953173,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0334059507191463,0,1,4.028229688181768,2.4849066497880004
93,19.7,6.435385652972204,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0518451614808897,0,1,4.075722238094006,2.302585092994046
94,9.8,7.150969029635072,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0240862883251541,0,1,4.749696413286643,2.302585092994046
95,7.93,6.19106430568552,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0096677117122199,0,0,4.796132635837532,3.367295829986474
96,12.15,7.116986501082949,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1234414516938211,1,0,5.50957455410624,2.70805020110221
97,8.75,8.231139658839913,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.071960680515147,0,1,5.2388624353766975,2.302585092994046
98,12.15,8.38129401494555,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0280623053785703,0,0,5.017086440631644,3.367295829986474
99,8.75,7.18181184438651,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0719738116667072,1,0,5.240982701882706,2.833213344056216
100,13.3,7.499229359226499,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0617487746609668,0,1,5.024346201873718,2.4849066497880004
101,20.6,7.957159956361889,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0447800668469998,0,0,5.190366833021112,3.367295829986474
102,8.31,8.26802943164612,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1096229193946341,1,0,5.193527798979437,2.70805020110221
103,16.75,6.505481174203127,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.024529483187933,0,0,3.683419576069558,3.295836866004329
104,19.75,8.066789188471217,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.033461767017917,0,0,5.361715550247945,1.6094379124341003
105,17.1,7.718125694094618,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0457088503656477,0,0,4.95712058682867,3.295836866004329
106,10.5,7.49294468503679,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110267488550167,0,0,5.10060396065803,3.295836866004329
107,6.635,7.836648583780151,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0640371724635911,0,1,4.806557170308662,2.4849066497880004
108,9.395,6.522263371856928,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2460582526492857,0,0,5.422179663768994,3.367295829986474
109,14.15,6.701070535331195,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0352839405690455,0,0,3.747473780981602,3.295836866004329
110,13.3,6.551208898207379,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0767816417116805,1,0,5.453310548513535,2.833213344056216
111,8.89,7.913317338898384,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0054903812351062,0,1,4.638620435842424,1.9459101490553132
112,6.69,5.178615616335596,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0626229457189295,0,0,5.181429555058895,3.367295829986474
113,6.195,8.318335633448633,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.069187327112564,0,0,4.809822218128111,3.367295829986474
114,9.1,8.056077055144213,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0640371724635911,0,1,5.160235062789842,2.4849066497880004
115,7.5,8.690013924646816,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0321551162781102,1,0,5.481016352106793,2.70805020110221
116,16.85,8.48563957084695,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1490750095215625,0,1,5.265007708634195,1.9459101490553132
